Ano;Espécie;Mês de Data;Número de registros
2016;Espingarda;fevereiro;72
2016;Espingarda;janeiro;59
2016;Carabina;dezembro;14
2016;Carabina;novembro;3
2016;Carabina;outubro;4
2016;Carabina;setembro;6
2016;Carabina;agosto;8
2016;Carabina;julho;9
2016;Carabina;junho;10
2016;Carabina;maio;12
2016;Carabina;abril;12
2016;Carabina;março;8
2016;Carabina;fevereiro;12
2016;Carabina;janeiro;5
2016;Arma de Fabricação Caseira;dezembro;22
2016;Arma de Fabricação Caseira;novembro;5
2016;Arma de Fabricação Caseira;outubro;13
2016;Arma de Fabricação Caseira;setembro;9
2016;Arma de Fabricação Caseira;agosto;7
2016;Arma de Fabricação Caseira;julho;3
2016;Arma de Fabricação Caseira;junho;4
2016;Arma de Fabricação Caseira;maio;7
2016;Arma de Fabricação Caseira;abril;4
2016;Arma de Fabricação Caseira;março;3
2016;Arma de Fabricação Caseira;fevereiro;5
2016;Arma de Fabricação Caseira;janeiro;24
2017;Submetralhadora;março;6
2017;Submetralhadora;fevereiro;3
2017;Submetralhadora;janeiro;4
2017;Revólver;março;316
2017;Revólver;fevereiro;242
2017;Revólver;janeiro;288
2017;Pistola;março;342
2017;Pistola;fevereiro;234
2017;Pistola;janeiro;318
2017;Outros;março;5
2017;Outros;fevereiro;5
2017;Outros;janeiro;6
2017;Metralhadora;fevereiro;3
2017;Metralhadora;janeiro;4
2017;Garruchão;março;2
2017;Garruchão;fevereiro;1
2017;Garrucha;março;6
2017;Garrucha;fevereiro;7
2017;Garrucha;janeiro;13
2017;Fuzil;março;41
2017;Fuzil;fevereiro;33
2017;Fuzil;janeiro;45
2017;Espingarda;março;40
2017;Espingarda;fevereiro;33
2017;Espingarda;janeiro;59
2017;Carabina;março;4
2017;Carabina;fevereiro;4
2017;Carabina;janeiro;14
2017;Arma de Fabricação Caseira;março;7
2017;Arma de Fabricação Caseira;fevereiro;4
2017;Arma de Fabricação Caseira;janeiro;2
